Date,Time,Lat,Lon,Base
7/6/2014,15:56:00,40.8642,-73.9048,B02598
7/6/2014,15:58:00,40.8513,-73.8356,B02598
7/6/2014,18:11:00,40.858,-73.9015,B02598
7/6/2014,18:24:00,40.8331,-73.9059,B02598
7/6/2014,18:29:00,40.8483,-73.8441,B02598
7/6/2014,19:24:00,40.8695,-73.8517,B02598
7/6/2014,22:27:00,40.8554,-73.8828,B02598
7/6/2014,22:32:00,40.8344,-73.8517,B02598
7/6/2014,23:03:00,40.8545,-73.8647,B02598
7/7/2014,0:57:00,40.8226,-73.9288,B02598
7/7/2014,3:40:00,40.8687,-73.8814,B02598
7/7/2014,3:54:00,40.8529,-73.863,B02598
7/7/2014,8:00:00,40.8977,-73.9045,B02598
7/7/2014,8:54:00,40.8511,-73.9099,B02598
7/7/2014,9:24:00,40.8563,-73.8695,B02598
7/7/2014,9:44:00,40.8796,-73.8423,B02598
7/7/2014,9:58:00,40.864,-73.8453,B02598
7/7/2014,10:46:00,40.831,-73.9292,B02598
7/7/2014,11:26:00,40.8622,-73.8971,B02598
7/7/2014,12:20:00,40.8086,-73.9306,B02598
7/7/2014,13:22:00,40.8732,-73.8531,B02598
7/7/2014,13:24:00,40.8087,-73.9308,B02598
7/7/2014,13:44:00,40.8931,-73.8999,B02598
7/7/2014,14:01:00,40.8633,-73.8342,B02598
7/7/2014,14:14:00,40.8549,-73.8313,B02598
7/7/2014,14:24:00,40.85,-73.9091,B02598
7/7/2014,14:42:00,40.8797,-73.8796,B02598
7/7/2014,16:14:00,40.8402,-73.8566,B02598
7/7/2014,17:09:00,40.9033,-73.8997,B02598
7/7/2014,20:34:00,40.8372,-73.9269,B02598
7/7/2014,20:34:00,40.8372,-73.9269,B02598
7/7/2014,22:04:00,40.8413,-73.9114,B02598
7/7/2014,22:23:00,40.8366,-73.8603,B02598
7/8/2014,0:15:00,40.858,-73.8675,B02598
7/8/2014,3:36:00,40.8357,-73.8856,B02598
7/8/2014,7:30:00,40.8853,-73.9034,B02598
7/8/2014,7:30:00,40.8221,-73.8825,B02598
7/8/2014,7:32:00,40.8279,-73.9219,B02598
7/8/2014,7:32:00,40.8279,-73.9219,B02598
7/8/2014,8:05:00,40.879,-73.9059,B02598
7/8/2014,8:37:00,40.8848,-73.9082,B02598
7/8/2014,8:49:00,40.8837,-73.9169,B02598
7/8/2014,9:37:00,40.8701,-73.8875,B02598
7/8/2014,12:08:00,40.8212,-73.8863,B02598
