Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B02096,"CET GROUP, INC",06/08/2015,6,6
B02106,"PERFECT LIMO SERVICE, INC.",06/08/2015,6,1
b02754,TIGER CAR SERVICE INC.,06/08/2015,6,2
B00083,PAGE-A-RIDE INC,06/09/2015,6,4
B00208,ERNEST SCHWARZ INC,06/09/2015,6,4
B00619,LINCOLN LIMO SVCE INC,06/09/2015,6,4
B02637,ROOSEVELT CAR & LIMO INC.,06/09/2015,6,5
B02711,204 CAR & LIMO INC,06/09/2015,6,2
B01928,DISCOVER LIMO INC,06/10/2015,6,4
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,06/10/2015,6,3
B00208,ERNEST SCHWARZ INC,06/12/2015,6,4
b02754,TIGER CAR SERVICE INC.,06/12/2015,6,1
B00208,ERNEST SCHWARZ INC,06/13/2015,6,5
B02240,NEW APPLE TRANS. INC.,06/13/2015,6,6
B02252,ASIANA LIMOUSINE INC.,06/13/2015,6,2
B00208,ERNEST SCHWARZ INC,06/14/2015,6,4
B01818,"TA-TA TRANSPORTATION, INC.",06/14/2015,6,5
B02252,ASIANA LIMOUSINE INC.,06/14/2015,6,3
B02470,CRI LIMO INC.,06/14/2015,6,3
B02637,ROOSEVELT CAR & LIMO INC.,06/14/2015,6,6
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",06/14/2015,6,6
B02287,"ROAD NEW YORK ENTERPRISES, INC.",06/15/2015,6,3
B02637,ROOSEVELT CAR & LIMO INC.,06/15/2015,6,6
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",06/15/2015,6,6
B02689,OCS LIMO CORP.,06/15/2015,6,2
B02175,MURRAY'S LIMOUSINE SERVICE INC.,06/16/2015,6,6
B01928,DISCOVER LIMO INC,06/17/2015,6,3
B02637,ROOSEVELT CAR & LIMO INC.,06/17/2015,6,6
B01957,"ANIMO, INC",06/18/2015,6,4
B01727,"CHAUFFEUR SERVICES, INC.",06/19/2015,6,5
B01730,LUCKY EXPRESS CORPORATION,06/19/2015,6,6
B01846,ROMANTIQUE LIMOUSINE INC.,06/19/2015,6,6
B01849,JOE PAL LIMOUSINE LTD,06/19/2015,6,5
B02711,204 CAR & LIMO INC,06/19/2015,6,3
B00208,ERNEST SCHWARZ INC,06/20/2015,6,4
B00235,"ARISTACAR & LIMOUSINE, LTD.",06/20/2015,6,5
B00236,LAST RADIO GROUP CORP.,06/20/2015,6,4
B02106,"PERFECT LIMO SERVICE, INC.",06/20/2015,6, -   
B02217,PCS LIMOUSINE INC.,06/20/2015,6,3
B02287,"ROAD NEW YORK ENTERPRISES, INC.",06/20/2015,6,4
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",06/20/2015,6, -   
B00208,ERNEST SCHWARZ INC,06/21/2015,6,4
B01818,"TA-TA TRANSPORTATION, INC.",06/21/2015,6,2
B02252,ASIANA LIMOUSINE INC.,06/21/2015,6,2
B02541,HIBA CAR & LIMO SVC INC.,06/21/2015,6,6
B00208,ERNEST SCHWARZ INC,06/22/2015,6,3
B02175,MURRAY'S LIMOUSINE SERVICE INC.,06/22/2015,6,6
B02287,"ROAD NEW YORK ENTERPRISES, INC.",06/22/2015,6,3
b02754,TIGER CAR SERVICE INC.,06/22/2015,6,1
B01818,"TA-TA TRANSPORTATION, INC.",06/23/2015,6,5
B01957,"ANIMO, INC",06/23/2015,6,2
B02160,"12TH STREET LUXURY CARS, INC.",06/23/2015,6,6
B02689,OCS LIMO CORP.,06/23/2015,6,2
B00208,ERNEST SCHWARZ INC,06/24/2015,6,4
B01957,"ANIMO, INC",06/24/2015,6,2
B02287,"ROAD NEW YORK ENTERPRISES, INC.",06/24/2015,6,3
B02694,CITY LIMOUSINE TRANSPORTATION INC.,06/24/2015,6,6
B00208,ERNEST SCHWARZ INC,06/25/2015,6,4
B01849,JOE PAL LIMOUSINE LTD,06/25/2015,6,4
B02096,"CET GROUP, INC",06/25/2015,6,5
B02689,OCS LIMO CORP.,06/25/2015,6,2
